Node_ID	X(mm)	Y(mm)	Z(mm)
31	-0.004298230	-0.004549939	0.040198182
32	-0.003456293	-0.004197671	0.040198182
33	-0.002561018	-0.003742870	0.040198182
34	-0.001622780	-0.003186972	0.040198182
35	-0.000651207	-0.002532627	0.040198182
36	0.000344726	-0.001783505	0.040198182
37	0.001356664	-0.000944189	0.040198182
38	0.002376896	-0.000020118	0.040198182
39	0.003398376	0.000982508	0.040198182
40	0.004414732	0.002056880	0.040198182
41	0.005420178	0.003195891	0.040198182
42	0.006409288	0.004392693	0.040198182
43	0.007376524	0.005641633	0.040198182
44	0.008315504	0.006939691	0.040198182
45	0.009192030	0.008265298	0.040198182
1	0.009589113	0.007870061	0.042583636
2	0.008241286	0.007088774	0.042583636
3	0.006919024	0.006285867	0.042583636
4	0.005616629	0.005483257	0.042583636
5	0.004334015	0.004694647	0.042583636
6	0.003075337	0.003927342	0.042583636
7	0.001847064	0.003184896	0.042583636
8	0.000656724	0.002468863	0.042583636
9	-0.000487811	0.001779827	0.042583636
10	-0.001578703	0.001117953	0.042583636
11	-0.002608318	0.000483259	0.042583636
12	-0.003569282	-0.000124270	0.042583636
13	-0.004454461	-0.000704654	0.042583636
14	-0.005256887	-0.001257905	0.042583636
15	-0.005969599	-0.001784036	0.042583636
16	-0.006585357	-0.002283011	0.042583636
17	-0.007096128	-0.002754540	0.042583636
18	-0.007492253	-0.003197319	0.042583636
19	-0.007761688	-0.003606456	0.042583636
20	-0.007891794	-0.003966459	0.042583636
21	-0.007897635	-0.004240817	0.042583636
22	-0.007850405	-0.004399529	0.042583636
23	-0.007825632	-0.004449110	0.042583636
24	-0.007795474	-0.004498009	0.042583636
25	-0.007681493	-0.004626371	0.042583636
26	-0.007439057	-0.004775587	0.042583636
27	-0.007055569	-0.004879004	0.042583636
28	-0.006548993	-0.004917566	0.042583636
29	-0.005934360	-0.004880308	0.042583636
30	-0.005225361	-0.004752763	0.042583636
31	-0.004435472	-0.004527709	0.042583636
32	-0.003577031	-0.004202238	0.042583636
33	-0.002661275	-0.003775926	0.042583636
34	-0.001698579	-0.003249935	0.042583636
35	-0.000698638	-0.002626599	0.042583636
36	0.000329427	-0.001909238	0.042583636
37	0.001377052	-0.001102087	0.042583636
38	0.002436254	-0.000210242	0.042583636
39	0.003499669	0.000760413	0.042583636
40	0.004560579	0.001803346	0.042583636
41	0.005612849	0.002911681	0.042583636
42	0.006650737	0.004078755	0.042583636
